date,ticker,NewsCount,NewsTone
2020-01-01,AAPL,268,0.0035211735247155629
2020-01-01,AMZN,240,-0.016863206372059274
2020-01-01,FB,2572,-0.011213230002991782
2020-01-01,NVDA,16,-0.010415123313658653
2020-01-01,TSLA,276,-0.024557698394008416
2020-01-02,AAPL,513,0.0063562601973490727
2020-01-02,AMZN,484,-0.0059553827826964575
2020-01-02,FB,3709,-0.010478819836781977
2020-01-02,NVDA,18,0.0018456498457453739
2020-01-02,TSLA,384,-0.015637157574356693
2020-01-03,AAPL,733,0.006926458959258924
2020-01-03,AMZN,453,-0.0075729608402801823
2020-01-03,FB,3943,-0.016640502138143741
2020-01-03,NVDA,53,0.00039282922747020091
2020-01-03,TSLA,953,-0.0026707471280817095
2020-01-04,AAPL,494,0.0050087025135223638
2020-01-04,AMZN,236,0.0013023493195200532
2020-01-04,FB,2728,-0.014944946973514185
2020-01-04,NVDA,19,0.0044504661380118113
2020-01-04,TSLA,529,0.010073662499778039
2020-01-05,AAPL,251,0.0046973847760386324
2020-01-05,AMZN,272,0.026879422089576652
2020-01-05,FB,2236,-0.015061530537516887
2020-01-05,NVDA,11,0.0080213885566549591
2020-01-05,TSLA,158,0.0027693303828790635
2020-01-06,AAPL,539,0.0078397315382722713
2020-01-06,AMZN,715,0.0080091245453619547
2020-01-06,FB,3537,-0.00873155007387285
2020-01-06,NVDA,101,0.022277517130642188
2020-01-06,TSLA,274,0.0051080836443947427
2020-01-07,AAPL,497,0.0016566776679601356
2020-01-07,AMZN,545,0.0055555096517802922
2020-01-07,FB,4959,-0.016253688277981508
2020-01-07,NVDA,53,0.0087558841784062379
2020-01-07,TSLA,506,0.013825220423324182
2020-01-08,AAPL,776,-0.0015559783301176771
2020-01-08,AMZN,546,0.0045240953289701928
2020-01-08,FB,5165,-0.017324351942452829
2020-01-08,NVDA,42,0.000410156030439789
2020-01-08,TSLA,396,0.0017519848985424185
2020-01-09,AAPL,675,-0.00077076011854652123
2020-01-09,AMZN,581,-0.0029646146401378225
2020-01-09,FB,5322,-0.015758748117796866
2020-01-09,NVDA,43,0.011220211670937921
2020-01-09,TSLA,500,-0.001731955753438953
2020-01-10,AAPL,563,-0.0018661526408502249
2020-01-10,AMZN,511,0.0013505416068033667
2020-01-10,FB,5128,-0.015545276792450545
2020-01-10,NVDA,50,0.0048408717251479773
2020-01-10,TSLA,261,0.0002525425183305326
2020-01-11,AAPL,343,-0.0020315881910437073
2020-01-11,AMZN,291,-0.009744917040663624
2020-01-11,FB,3166,-0.016376597740853375
2020-01-11,NVDA,28,0.0010352868233902011
2020-01-11,TSLA,112,-0.0036070338432934368
2020-01-12,AAPL,255,-0.00036155989825512914
2020-01-12,AMZN,326,-0.0094695440873383153
2020-01-12,FB,2490,-0.014142233848690631
2020-01-12,NVDA,17,0.00093243348325574367
2020-01-12,TSLA,122,-0.0027375697643901142
2020-01-13,AAPL,659,-0.002693155029503516
2020-01-13,AMZN,639,-0.004618343947547396
2020-01-13,FB,4131,-0.012367840718151344
2020-01-13,NVDA,46,0.0052471009190400335
2020-01-13,TSLA,333,0.0022365333770660687
2020-01-14,AAPL,843,-0.0099786771228173778
2020-01-14,AMZN,830,-0.0027032820762260736
2020-01-14,FB,4681,-0.011169929298116433
2020-01-14,NVDA,28,0.0092300779576810418
2020-01-14,TSLA,462,3.827552943634231e-05
2020-01-15,AAPL,1074,-0.016314952486238765
2020-01-15,AMZN,1335,0.0013153202442008172
2020-01-15,FB,4687,-0.012837220460699145
2020-01-15,NVDA,38,0.0042394592012063529
2020-01-15,TSLA,310,0.0025681590104025425
2020-01-16,AAPL,925,-0.0029416587173071939
2020-01-16,AMZN,739,-0.00035258231115284854
2020-01-16,FB,5457,-0.015242145077901989
2020-01-16,NVDA,37,-0.00420888515552526
2020-01-16,TSLA,377,0.0039831840795669579
2020-01-17,AAPL,886,-0.00048057508269079769
2020-01-17,AMZN,703,-0.004090280376190354
2020-01-17,FB,5261,-0.016242391064683649
2020-01-17,NVDA,78,0.00027445419923974459
2020-01-17,TSLA,626,-0.0088430129928984864
2020-01-18,AAPL,440,-0.0038978462889607173
2020-01-18,AMZN,424,-0.0071184332345972214
2020-01-18,FB,3266,-0.014109916514960165
2020-01-18,NVDA,31,0.00025412708325432644
2020-01-18,TSLA,240,-0.0073870894653245275
2020-01-19,AAPL,474,-0.0028296439701916295
2020-01-19,AMZN,308,-0.0015916262790226297
2020-01-19,FB,3034,-0.014416774223902853
2020-01-19,NVDA,16,0.0096283177463064914
2020-01-19,TSLA,247,-0.0058975645218815364
2020-01-20,AAPL,766,0.0036832195070887531
2020-01-20,AMZN,713,0.010978889057096135
2020-01-20,FB,4065,-0.0072554922089612221
2020-01-20,NVDA,59,0.00243896244511517
2020-01-20,TSLA,374,-0.0072540067298347485
2020-01-21,AAPL,768,-0.0045427486096906141
2020-01-21,AMZN,641,0.0025479058639957539
2020-01-21,FB,4790,-0.011943051466151992
2020-01-21,NVDA,54,-0.00154915449488815
2020-01-21,TSLA,546,-0.0095007615876589371
2020-01-22,AAPL,995,-0.0051060861050544453
2020-01-22,AMZN,1453,-0.011788603809024186
2020-01-22,FB,4924,-0.012961454742516207
2020-01-22,NVDA,40,-0.0028969298507928571
2020-01-22,TSLA,901,-0.0039356405881763356
2020-01-23,AAPL,914,-0.0067531129400680758
2020-01-23,AMZN,835,-0.0093642105848096
2020-01-23,FB,4831,-0.01280373612010397
2020-01-23,NVDA,54,0.0026274827489352051
2020-01-23,TSLA,587,0.000492389401324857
2020-01-24,AAPL,837,-0.0073549646523174113
2020-01-24,AMZN,548,-0.00023336385731638137
2020-01-24,FB,4793,-0.013016812832271069
2020-01-24,NVDA,36,0.0014997670311202218
2020-01-24,TSLA,323,-0.0061410032920825013
2020-01-25,AAPL,367,-0.00714178943037187
2020-01-25,AMZN,237,0.00043225982983442112
2020-01-25,FB,3019,-0.0113927189237145
2020-01-25,NVDA,19,0.0066237884420154245
2020-01-25,TSLA,201,-0.0026181060560564336
2020-01-26,AAPL,319,-0.011121878201454697
2020-01-26,AMZN,208,0.00033986983325425229
2020-01-26,FB,2576,-0.010225302415355367
2020-01-26,NVDA,9,-0.021701493996011161
2020-01-26,TSLA,259,-0.017446426831604481
2020-01-27,AAPL,654,-0.0003207887878500284
2020-01-27,AMZN,855,-0.0045141687258030546
2020-01-27,FB,4028,-0.014099329781860919
2020-01-27,NVDA,42,-0.00062081447116822891
2020-01-27,TSLA,269,-0.0025886328790722338
2020-01-28,AAPL,1223,-0.0020846008874038108
2020-01-28,AMZN,652,-0.0025120105833615794
2020-01-28,FB,4715,-0.013178662029370273
2020-01-28,NVDA,35,-0.0040926695702834526
2020-01-28,TSLA,282,-0.0017792326438753688
