date,ticker,NewsCount,NewsTone
2020-01-01,AMC,76,-0.0067614894503432894
2020-01-01,BB,7398,-0.023615927590070179
2020-01-01,GME,100,-0.0046718297384699559
2020-01-01,HTZ,17,0.0053557468728246335
2020-01-01,KOSS,14,-0.074034752553045216
2020-01-01,KSS,1,0.0166481687014428
2020-01-01,NOK,8,0.012075723723769017
2020-01-01,RIVN,1,-0.0159574468085106
2020-01-02,AMC,88,-0.0083474223726076775
2020-01-02,BB,11284,-0.020326051539392018
2020-01-02,CVNA,2,0.02439735556467975
2020-01-02,GME,230,-0.0058673819276499912
2020-01-02,HTZ,6,0.024379087993980402
2020-01-02,KOSS,13,-0.036527326779088841
2020-01-02,KSS,3,0.057991660561329227
2020-01-02,NOK,43,0.011326048295278914
2020-01-02,OPEN,1,0.0125391849529781
2020-01-02,RIVN,2,0.0035460992907801396
2020-01-03,AMC,101,-0.0074957365751026255
2020-01-03,BB,10790,-0.024594669144344102
2020-01-03,GME,260,-0.0025564961444359958
2020-01-03,HOOD,1,0.00420673076923077
2020-01-03,KOSS,38,-0.07727344350268564
2020-01-03,KSS,6,0.010243055132463845
2020-01-03,NOK,35,-0.000656191168835053
2020-01-03,RIVN,4,0.0035245576909610247
2020-01-04,AMC,53,-0.012322604005165655
2020-01-04,BB,7606,-0.021909325120203025
2020-01-04,GME,129,-0.009312424556160364
2020-01-04,HTZ,1,-0.0112721417069243
2020-01-04,KOSS,10,-0.040172108997910065
2020-01-04,KSS,1,0.0397111913357401
2020-01-04,NOK,18,0.000394129540774043
2020-01-04,PLTR,1,-0.043042452830188704
2020-01-04,RIVN,4,0.0067324977709092779
2020-01-05,AMC,129,-0.035015874748538109
2020-01-05,BB,6638,-0.02049067046906548
2020-01-05,GME,82,-0.012493165203763913
2020-01-05,HTZ,1,0.0072859744990892506
2020-01-05,KOSS,9,-0.074938798945278121
2020-01-05,KSS,1,0.0393700787401575
2020-01-05,NOK,18,0.010996817791802435
2020-01-05,RIVN,3,-0.00093769163850026052
2020-01-06,AMC,173,-0.014952826550268658
2020-01-06,BB,9334,-0.012640143209805889
2020-01-06,GME,239,0.0014337680313923308
2020-01-06,HTZ,5,-0.0012438921105975835
2020-01-06,KOSS,24,-0.047966644821079554
2020-01-06,KSS,2,0.085941010662200445
2020-01-06,NOK,46,0.014209788335352235
2020-01-06,OPEN,1,-0.00386100386100386
2020-01-06,RIVN,12,0.011818963801021131
2020-01-06,SOUN,2,0.024818577648766351
2020-01-07,AMC,129,-0.00668132063287634
2020-01-07,BB,11407,-0.015811331128760559
2020-01-07,CVNA,2,0.010874096720400246
2020-01-07,GME,326,-0.010250651903119553
2020-01-07,HTZ,47,0.0026171658096561848
2020-01-07,KOSS,26,-0.034007837614344796
2020-01-07,KSS,6,0.014099010623222713
2020-01-07,NOK,55,0.019745005906160525
2020-01-07,RIVN,14,0.013296446173362607
2020-01-07,SOUN,6,0.040214477211796204
2020-01-08,AMC,220,-0.0099762465297632118
2020-01-08,BB,10704,-0.017193529086995622
2020-01-08,CVNA,1,0.0106496272630458
2020-01-08,GME,411,-0.0027571317411596305
2020-01-08,HTZ,5,0.012271696159620786
2020-01-08,KOSS,27,-0.040888993424713152
2020-01-08,KSS,5,0.015853554935436612
2020-01-08,NOK,36,0.018454579829357186
2020-01-08,RIVN,5,0.014392945556124503
2020-01-09,AMC,124,-0.0079169116966757887
2020-01-09,BB,10540,-0.017328934568696424
2020-01-09,CVNA,4,0.011288728966873657
2020-01-09,GME,357,-0.0061593707803769809
2020-01-09,HTZ,5,0.02004395244023726
2020-01-09,KOSS,13,-0.031843128693866733
2020-01-09,KSS,60,-0.00092536556147427337
2020-01-09,NOK,30,0.015804228119258322
2020-01-09,PLTR,1,-0.00094339622641509207
2020-01-09,RIVN,1,0.0184615384615385
2020-01-10,AMC,132,-0.00282845174087585
2020-01-10,BB,10550,-0.016382900261212488
2020-01-10,GME,470,-0.0032724480151665961
2020-01-10,KOSS,16,-0.020693658817713213
2020-01-10,KSS,12,0.022203002195722448
2020-01-10,NOK,23,0.016060501441038533
2020-01-10,SOUN,1,0.05
2020-01-11,AMC,76,-0.015094451774375191
2020-01-11,BB,6868,-0.017035306254499089
2020-01-11,CVNA,1,0.016333938294010898
2020-01-11,GME,144,-0.009560745945000693
2020-01-11,HTZ,2,0.023283858998144748
2020-01-11,KOSS,11,-0.053158693135275416
