Effective Date,Rate Type,Rate (%),1st Percentile (%),25th Percentile (%),75th Percentile (%),99th Percentile (%),Volume ($Billions),Target Rate From (%),Target Rate To (%),Intra Day - Low (%),Intra Day - High (%),Standard Deviation (%),30-Day Average SOFR,90-Day Average SOFR,180-Day Average SOFR,SOFR Index,Revision Indicator (Y/N),Footnote ID
08/25/2022,SOFR,2.28,2.2,2.25,2.3,2.45,970,,,,,,,,,,,
08/24/2022,SOFR,2.27,2.18,2.25,2.3,2.45,969,,,,,,,,,,,
08/23/2022,SOFR,2.27,2.18,2.25,2.3,2.45,952,,,,,,,,,,,
08/22/2022,SOFR,2.28,2.15,2.25,2.3,2.37,994,,,,,,,,,,,
08/19/2022,SOFR,2.28,2.18,2.26,2.3,2.45,960,,,,,,,,,,,
08/18/2022,SOFR,2.28,2.18,2.26,2.3,2.45,973,,,,,,,,,,,
08/17/2022,SOFR,2.29,2.19,2.26,2.3,2.45,966,,,,,,,,,,,
08/16/2022,SOFR,2.29,2.2,2.26,2.31,2.45,974,,,,,,,,,,,
08/15/2022,SOFR,2.29,2.19,2.26,2.31,2.45,1014,,,,,,,,,,,
08/12/2022,SOFR,2.28,2.19,2.26,2.3,2.45,966,,,,,,,,,,,
08/11/2022,SOFR,2.28,2.18,2.26,2.3,2.45,965,,,,,,,,,,,
08/10/2022,SOFR,2.28,2.19,2.26,2.3,2.45,970,,,,,,,,,,,
08/09/2022,SOFR,2.29,2.2,2.26,2.3,2.45,947,,,,,,,,,,,
08/08/2022,SOFR,2.28,2.19,2.26,2.3,2.45,950,,,,,,,,,,,
08/05/2022,SOFR,2.28,2.19,2.26,2.3,2.45,965,,,,,,,,,,,
08/04/2022,SOFR,2.29,2.2,2.26,2.3,2.45,981,,,,,,,,,,,
08/03/2022,SOFR,2.29,2.18,2.26,2.31,2.45,984,,,,,,,,,,,
08/02/2022,SOFR,2.3,2.2,2.27,2.32,2.37,1015,,,,,,,,,,,
08/01/2022,SOFR,2.28,2.18,2.25,2.3,2.38,1035,,,,,,,,,,,
07/29/2022,SOFR,2.27,2.19,2.25,2.29,2.45,949,,,,,,,,,,,
07/28/2022,SOFR,2.28,1.55,2.25,2.3,2.45,965,,,,,,,,,,,
07/27/2022,SOFR,1.53,1.4,1.5,1.55,1.7,941,,,,,,,,,,,
07/26/2022,SOFR,1.53,1.45,1.5,1.55,1.7,951,,,,,,,,,,,
07/25/2022,SOFR,1.53,1.41,1.5,1.55,1.7,985,,,,,,,,,,,
07/22/2022,SOFR,1.52,1.45,1.5,1.54,1.7,931,,,,,,,,,,,
07/21/2022,SOFR,1.53,1.2,1.5,1.55,1.7,960,,,,,,,,,,,
07/20/2022,SOFR,1.53,1.43,1.5,1.55,1.7,916,,,,,,,,,,,
07/19/2022,SOFR,1.54,1.45,1.51,1.55,1.7,933,,,,,,,,,,,
07/18/2022,SOFR,1.54,1.45,1.51,1.55,1.7,947,,,,,,,,,,,
07/15/2022,SOFR,1.54,1.45,1.51,1.55,1.7,950,,,,,,,,,,,
07/14/2022,SOFR,1.53,1.45,1.5,1.55,1.7,934,,,,,,,,,,,
07/13/2022,SOFR,1.53,1.44,1.5,1.55,1.7,924,,,,,,,,,,,
07/12/2022,SOFR,1.54,1.45,1.5,1.55,1.7,941,,,,,,,,,,,
07/11/2022,SOFR,1.53,1.44,1.5,1.55,1.7,930,,,,,,,,,,,
07/08/2022,SOFR,1.53,1,1.5,1.55,1.7,942,,,,,,,,,,,
07/07/2022,SOFR,1.54,1.45,1.5,1.55,1.7,966,,,,,,,,,,,
07/06/2022,SOFR,1.54,1.45,1.5,1.55,1.7,966,,,,,,,,,,,
07/05/2022,SOFR,1.54,1.4,1.5,1.55,1.65,1042,,,,,,,,,,,
07/01/2022,SOFR,1.52,1.43,1.48,1.55,1.7,1001,,,,,,,,,,,
06/30/2022,SOFR,1.5,0.75,1.47,1.53,1.62,995,,,,,,,,,,,
06/29/2022,SOFR,1.51,1.42,1.48,1.54,1.7,940,,,,,,,,,,,
06/28/2022,SOFR,1.52,1.42,1.48,1.55,1.7,929,,,,,,,,,,,
06/27/2022,SOFR,1.5,1.4,1.47,1.54,1.7,945,,,,,,,,,,,
06/24/2022,SOFR,1.46,1.38,1.43,1.5,1.7,926,,,,,,,,,,,
06/23/2022,SOFR,1.44,1.35,1.42,1.48,1.7,944,,,,,,,,,,,
06/22/2022,SOFR,1.45,1.37,1.43,1.49,1.7,942,,,,,,,,,,,
06/21/2022,SOFR,1.45,1,1.43,1.48,1.7,957,,,,,,,,,,,
06/17/2022,SOFR,1.45,1.38,1.43,1.49,1.7,923,,,,,,,,,,,
06/16/2022,SOFR,1.45,1,1.42,1.49,1.7,976,,,,,,,,,,,
06/15/2022,SOFR,0.7,0.63,0.68,0.75,0.95,917,,,,,,,,,,,
06/14/2022,SOFR,0.69,0.6,0.67,0.75,0.95,925,,,,,,,,,,,
06/13/2022,SOFR,0.73,0.65,0.71,0.78,0.95,970,,,,,,,,,,,
06/10/2022,SOFR,0.75,0.6,0.73,0.79,0.95,960,,,,,,,,,,,
06/09/2022,SOFR,0.75,0.65,0.74,0.8,0.95,985,,,,,,,,,,,
06/08/2022,SOFR,0.76,0.7,0.74,0.8,0.95,959,,,,,,,,,,,
06/07/2022,SOFR,0.77,0.7,0.75,0.8,0.95,947,,,,,,,,,,,
06/06/2022,SOFR,0.78,0.72,0.76,0.8,0.95,959,,,,,,,,,,,
06/03/2022,SOFR,0.78,0.73,0.76,0.8,0.95,954,,,,,,,,,,,
06/02/2022,SOFR,0.79,0.7,0.77,0.8,0.95,974,,,,,,,,,,,
06/01/2022,SOFR,0.8,0.73,0.77,0.8,0.95,994,,,,,,,,,,,
05/31/2022,SOFR,0.79,0.71,0.77,0.8,0.87,1040,,,,,,,,,,,
05/27/2022,SOFR,0.78,0.72,0.76,0.8,0.95,963,,,,,,,,,,,
05/26/2022,SOFR,0.78,0.7,0.76,0.8,0.95,955,,,,,,,,,,,
05/25/2022,SOFR,0.78,0.72,0.76,0.8,0.95,942,,,,,,,,,,,
05/24/2022,SOFR,0.78,0.72,0.76,0.8,0.95,968,,,,,,,,,,,
05/23/2022,SOFR,0.78,0.71,0.76,0.8,0.95,984,,,,,,,,,,,
05/20/2022,SOFR,0.78,0.71,0.76,0.8,0.95,943,,,,,,,,,,,
05/19/2022,SOFR,0.79,0.71,0.77,0.8,0.95,982,,,,,,,,,,,
05/18/2022,SOFR,0.79,0.73,0.77,0.8,0.95,939,,,,,,,,,,,
05/17/2022,SOFR,0.8,0.7,0.78,0.81,0.95,977,,,,,,,,,,,
05/16/2022,SOFR,0.8,0.65,0.78,0.81,0.87,1013,,,,,,,,,,,
05/13/2022,SOFR,0.79,0.71,0.77,0.8,0.95,917,,,,,,,,,,,
05/12/2022,SOFR,0.79,0.71,0.77,0.8,0.95,922,,,,,,,,,,,
05/11/2022,SOFR,0.78,0.72,0.76,0.8,0.95,925,,,,,,,,,,,
05/10/2022,SOFR,0.78,0.72,0.76,0.8,0.95,914,,,,,,,,,,,
05/09/2022,SOFR,0.78,0.72,0.76,0.8,0.95,931,,,,,,,,,,,
05/06/2022,SOFR,0.78,0.72,0.76,0.8,0.95,979,,,,,,,,,,,
05/05/2022,SOFR,0.79,0.72,0.77,0.8,0.86,992,,,,,,,,,,,
05/04/2022,SOFR,0.3,0.22,0.27,0.3,0.45,947,,,,,,,,,,,
05/03/2022,SOFR,0.3,0.23,0.28,0.3,0.45,923,,,,,,,,,,,
05/02/2022,SOFR,0.3,0.23,0.27,0.3,0.45,984,,,,,,,,,,,
04/29/2022,SOFR,0.28,0.1,0.26,0.3,0.45,915,,,,,,,,,,,
04/28/2022,SOFR,0.28,0.21,0.26,0.3,0.45,892,,,,,,,,,,,
04/27/2022,SOFR,0.28,0.21,0.26,0.3,0.45,882,,,,,,,,,,,
04/26/2022,SOFR,0.27,0.2,0.25,0.3,0.45,897,,,,,,,,,,,
04/25/2022,SOFR,0.27,0.15,0.25,0.3,0.45,898,,,,,,,,,,,
04/22/2022,SOFR,0.27,0.2,0.24,0.3,0.45,901,,,,,,,,,,,
04/21/2022,SOFR,0.26,0.19,0.23,0.3,0.45,906,,,,,,,,,,,
04/20/2022,SOFR,0.27,0.2,0.24,0.3,0.45,912,,,,,,,,,,,
04/19/2022,SOFR,0.28,0.21,0.26,0.3,0.45,895,,,,,,,,,,,
04/18/2022,SOFR,0.29,0.1,0.27,0.3,0.45,896,,,,,,,,,,,
04/14/2022,SOFR,0.29,0.21,0.27,0.3,0.45,886,,,,,,,,,,,
04/13/2022,SOFR,0.29,0.21,0.27,0.3,0.45,874,,,,,,,,,,,
04/12/2022,SOFR,0.29,0.21,0.27,0.3,0.45,883,,,,,,,,,,,
04/11/2022,SOFR,0.3,0.21,0.27,0.3,0.45,886,,,,,,,,,,,
04/08/2022,SOFR,0.3,0.21,0.27,0.3,0.45,905,,,,,,,,,,,
04/07/2022,SOFR,0.3,0.21,0.27,0.3,0.45,906,,,,,,,,,,,
04/06/2022,SOFR,0.3,0.22,0.27,0.3,0.45,905,,,,,,,,,,,
04/05/2022,SOFR,0.3,0.22,0.27,0.3,0.45,929,,,,,,,,,,,
04/04/2022,SOFR,0.3,0.22,0.27,0.3,0.45,940,,,,,,,,,,,
04/01/2022,SOFR,0.3,0.21,0.27,0.3,0.45,974,,,,,,,,,,,
03/31/2022,SOFR,0.29,0.2,0.26,0.3,0.45,979,,,,,,,,,,,
03/30/2022,SOFR,0.27,0.2,0.24,0.3,0.45,900,,,,,,,,,,,
03/29/2022,SOFR,0.28,0.2,0.25,0.3,0.45,874,,,,,,,,,,,
03/28/2022,SOFR,0.28,0.2,0.25,0.3,0.45,899,,,,,,,,,,,
03/25/2022,SOFR,0.28,0.2,0.25,0.3,0.45,901,,,,,,,,,,,
03/24/2022,SOFR,0.27,0.2,0.24,0.3,0.45,900,,,,,,,,,,,
03/23/2022,SOFR,0.27,0.15,0.24,0.3,0.45,908,,,,,,,,,,,
03/22/2022,SOFR,0.28,0.21,0.25,0.3,0.45,931,,,,,,,,,,,
03/21/2022,SOFR,0.29,0.22,0.26,0.3,0.45,989,,,,,,,,,,,
03/18/2022,SOFR,0.3,0.23,0.26,0.3,0.45,968,,,,,,,,,,,
03/17/2022,SOFR,0.3,0.23,0.27,0.3,0.37,1003,,,,,,,,,,,
03/16/2022,SOFR,0.05,0,0.03,0.05,0.12,1016,,,,,,,,,,,
03/15/2022,SOFR,0.05,0,0.03,0.05,0.15,1014,,,,,,,,,,,
03/14/2022,SOFR,0.05,0,0.02,0.05,0.15,980,,,,,,,,,,,
03/11/2022,SOFR,0.05,0,0.03,0.05,0.15,980,,,,,,,,,,,
03/10/2022,SOFR,0.05,0,0.03,0.05,0.15,977,,,,,,,,,,,
03/09/2022,SOFR,0.05,0.01,0.05,0.06,0.15,952,,,,,,,,,,,
03/08/2022,SOFR,0.05,0.01,0.05,0.06,0.15,948,,,,,,,,,,,
03/07/2022,SOFR,0.05,0.01,0.05,0.06,0.15,990,,,,,,,,,,,
03/04/2022,SOFR,0.05,0.01,0.05,0.06,0.15,961,,,,,,,,,,,
03/03/2022,SOFR,0.05,0.01,0.05,0.06,0.15,1001,,,,,,,,,,,
03/02/2022,SOFR,0.05,0.01,0.05,0.06,0.13,1023,,,,,,,,,,,
03/01/2022,SOFR,0.05,0.01,0.05,0.06,0.12,1062,,,,,,,,,,,
02/28/2022,SOFR,0.05,0.01,0.05,0.07,0.13,1052,,,,,,,,,,,
02/25/2022,SOFR,0.05,0,0.04,0.06,0.15,962,,,,,,,,,,,
02/24/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,924,,,,,,,,,,,
02/23/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,902,,,,,,,,,,,
02/22/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,930,,,,,,,,,,,
02/18/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,931,,,,,,,,,,,
02/17/2022,SOFR,0.05,0,0.03,0.05,0.15,911,,,,,,,,,,,
02/16/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,960,,,,,,,,,,,
02/15/2022,SOFR,0.05,0,0.03,0.05,0.15,972,,,,,,,,,,,
02/14/2022,SOFR,0.05,-0.01,0.02,0.05,0.15,895,,,,,,,,,,,
02/11/2022,SOFR,0.05,-0.01,0.02,0.05,0.15,903,,,,,,,,,,,
02/10/2022,SOFR,0.05,-0.02,0.01,0.05,0.15,914,,,,,,,,,,,
02/09/2022,SOFR,0.04,-0.02,0.01,0.05,0.15,911,,,,,,,,,,,
02/08/2022,SOFR,0.05,-0.02,0.01,0.05,0.15,896,,,,,,,,,,,
02/07/2022,SOFR,0.05,-0.01,0.02,0.05,0.15,905,,,,,,,,,,,
02/04/2022,SOFR,0.05,0,0.03,0.05,0.15,891,,,,,,,,,,,
02/03/2022,SOFR,0.05,0,0.03,0.05,0.15,935,,,,,,,,,,,
02/02/2022,SOFR,0.05,0,0.03,0.05,0.15,927,,,,,,,,,,,
02/01/2022,SOFR,0.05,0,0.03,0.05,0.15,985,,,,,,,,,,,
01/31/2022,SOFR,0.05,-0.01,0.02,0.05,0.12,1019,,,,,,,,,,,
01/28/2022,SOFR,0.05,-0.02,0.01,0.05,0.15,908,,,,,,,,,,,
01/27/2022,SOFR,0.04,-0.02,0.02,0.05,0.15,913,,,,,,,,,,,
01/26/2022,SOFR,0.04,-0.02,0.02,0.05,0.15,926,,,,,,,,,,,
01/25/2022,SOFR,0.05,-0.03,0.01,0.05,0.15,943,,,,,,,,,,,
01/24/2022,SOFR,0.04,-0.03,0.01,0.05,0.15,886,,,,,,,,,,,
01/21/2022,SOFR,0.05,-0.02,0.01,0.05,0.15,875,,,,,,,,,,,
01/20/2022,SOFR,0.04,-0.02,0.02,0.05,0.15,927,,,,,,,,,,,
01/19/2022,SOFR,0.05,-0.01,0.02,0.05,0.15,917,,,,,,,,,,,
01/18/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,954,,,,,,,,,,,
01/14/2022,SOFR,0.05,-0.02,0.02,0.05,0.15,874,,,,,,,,,,,
01/13/2022,SOFR,0.05,-0.01,0.02,0.05,0.15,892,,,,,,,,,,,
01/12/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,891,,,,,,,,,,,
01/11/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,935,,,,,,,,,,,
01/10/2022,SOFR,0.05,-0.01,0.03,0.05,0.15,919,,,,,,,,,,,
01/07/2022,SOFR,0.05,0,0.04,0.05,0.15,929,,,,,,,,,,,
01/06/2022,SOFR,0.05,0,0.04,0.06,0.15,942,,,,,,,,,,,
01/05/2022,SOFR,0.05,0,0.04,0.06,0.15,946,,,,,,,,,,,
01/04/2022,SOFR,0.05,0,0.05,0.06,0.15,976,,,,,,,,,,,
01/03/2022,SOFR,0.05,-0.01,0.04,0.06,0.15,972,,,,,,,,,,,
12/31/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,923,,,,,,,,,,,
12/30/2021,SOFR,0.05,-0.02,0.02,0.05,0.15,836,,,,,,,,,,,
12/29/2021,SOFR,0.05,-0.02,0.02,0.05,0.15,869,,,,,,,,,,,
12/28/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,844,,,,,,,,,,,
12/27/2021,SOFR,0.05,-0.02,0.02,0.05,0.15,888,,,,,,,,,,,
12/23/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,880,,,,,,,,,,,
12/22/2021,SOFR,0.05,-0.02,0.02,0.05,0.15,893,,,,,,,,,,,
12/21/2021,SOFR,0.05,-0.02,0.01,0.05,0.15,896,,,,,,,,,,,
12/20/2021,SOFR,0.04,-0.02,0.01,0.05,0.15,905,,,,,,,,,,,
12/17/2021,SOFR,0.05,-0.01,0.02,0.05,0.15,910,,,,,,,,,,,
12/16/2021,SOFR,0.05,-0.01,0.02,0.05,0.15,914,,,,,,,,,,,
12/15/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,959,,,,,,,,,,,
12/14/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,919,,,,,,,,,,,
12/13/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,936,,,,,,,,,,,
12/10/2021,SOFR,0.05,0,0.04,0.06,0.15,919,,,,,,,,,,,
12/09/2021,SOFR,0.05,0,0.04,0.06,0.15,973,,,,,,,,,,,
12/08/2021,SOFR,0.05,0,0.05,0.06,0.15,978,,,,,,,,,,,
12/07/2021,SOFR,0.05,0,0.04,0.06,0.15,989,,,,,,,,,,,
12/06/2021,SOFR,0.05,0,0.04,0.06,0.14,994,,,,,,,,,,,
12/03/2021,SOFR,0.05,0,0.04,0.06,0.14,1015,,,,,,,,,,,
12/02/2021,SOFR,0.05,0,0.04,0.06,0.15,1031,,,,,,,,,,,
12/01/2021,SOFR,0.05,0,0.05,0.06,0.14,1088,,,,,,,,,,,
11/30/2021,SOFR,0.05,0,0.04,0.06,0.13,1067,,,,,,,,,,,
11/29/2021,SOFR,0.05,0,0.04,0.05,0.15,953,,,,,,,,,,,
11/26/2021,SOFR,0.05,0,0.04,0.06,0.15,895,,,,,,,,,,,
11/24/2021,SOFR,0.05,0,0.04,0.05,0.15,887,,,,,,,,,,,
11/23/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,920,,,,,,,,,,,
11/22/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,930,,,,,,,,,,,
11/19/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,895,,,,,,,,,,,
11/18/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,898,,,,,,,,,,,
11/17/2021,SOFR,0.05,-0.01,0.03,0.05,0.15,893,,,,,,,,,,,
11/16/2021,SOFR,0.05,-0.01,0.04,0.05,0.15,924,,,,,,,,,,,
11/15/2021,SOFR,0.05,0,0.04,0.05,0.15,958,,,,,,,,,,,
11/12/2021,SOFR,0.05,0,0.04,0.05,0.15,868,,,,,,,,,,,
11/10/2021,SOFR,0.05,0,0.04,0.05,0.15,871,,,,,,,,,,,
11/09/2021,SOFR,0.05,0,0.04,0.05,0.15,908,,,,,,,,,,,
11/08/2021,SOFR,0.05,0,0.04,0.05,0.15,907,,,,,,,,,,,
11/05/2021,SOFR,0.05,0,0.04,0.05,0.15,875,,,,,,,,,,,
11/04/2021,SOFR,0.05,-0.01,0.04,0.05,0.15,925,,,,,,,,,,,
11/03/2021,SOFR,0.05,0,0.04,0.05,0.15,877,,,,,,,,,,,
11/02/2021,SOFR,0.05,-0.01,0.04,0.05,0.15,910,,,,,,,,,,,
11/01/2021,SOFR,0.05,-0.02,0.03,0.05,0.15,959,,,,,,,,,,,
10/29/2021,SOFR,0.05,-0.03,0.02,0.05,0.15,847,,,,,,,,,,,
10/28/2021,SOFR,0.05,-0.03,0.02,0.05,0.15,871,,,,,,,,,,,
10/27/2021,SOFR,0.05,-0.03,0.02,0.05,0.15,865,,,,,,,,,,,
10/26/2021,SOFR,0.05,-0.03,0.02,0.05,0.15,877,,,,,,,,,,,
10/25/2021,SOFR,0.04,-0.03,0.02,0.05,0.15,858,,,,,,,,,,,
10/22/2021,SOFR,0.05,-0.03,0.02,0.05,0.15,863,,,,,,,,,,,
10/21/2021,SOFR,0.03,-0.05,0,0.05,0.15,879,,,,,,,,,,,
10/20/2021,SOFR,0.03,-0.04,0,0.05,0.15,857,,,,,,,,,,,
10/19/2021,SOFR,0.03,-0.03,0.01,0.05,0.15,875,,,,,,,,,,,
10/18/2021,SOFR,0.05,-0.02,0.01,0.05,0.15,879,,,,,,,,,,,
10/15/2021,SOFR,0.05,-0.01,0.02,0.05,0.15,889,,,,,,,,,,,
10/14/2021,SOFR,0.05,-0.03,0.03,0.05,0.15,873,,,,,,,,,,,
