Effective Date,Rate Type,Rate (%),1st Percentile (%),25th Percentile (%),75th Percentile (%),99th Percentile (%),Volume ($Billions),Target Rate From (%),Target Rate To (%),Intra Day - Low (%),Intra Day - High (%),Standard Deviation (%),30-Day Average SOFR,90-Day Average SOFR,180-Day Average SOFR,SOFR Index,Revision Indicator (Y/N),Footnote ID
12/30/2022,SOFR,4.3,4.2,4.26,4.33,4.48,1004,,,,,,,,,,,
12/29/2022,SOFR,4.3,4.2,4.26,4.32,4.45,1037,,,,,,,,,,,
12/28/2022,SOFR,4.3,4.21,4.27,4.32,4.45,1005,,,,,,,,,,,
12/27/2022,SOFR,4.3,4.15,4.27,4.32,4.4,1048,,,,,,,,,,,
12/23/2022,SOFR,4.3,4.21,4.26,4.31,4.38,991,,,,,,,,,,,
12/22/2022,SOFR,4.3,4.2,4.26,4.31,4.44,1013,,,,,,,,,,,
12/21/2022,SOFR,4.3,4.2,4.26,4.3,4.44,1031,,,,,,,,,,,
12/20/2022,SOFR,4.3,4.2,4.27,4.32,4.44,1048,,,,,,,,,,,
12/19/2022,SOFR,4.3,4.22,4.28,4.34,4.42,1087,,,,,,,,,,,
12/16/2022,SOFR,4.32,4.23,4.3,4.36,4.45,1091,,,,,,,,,,,
12/15/2022,SOFR,4.32,4.2,4.3,4.37,4.45,1144,,,,,,,,,,,
12/14/2022,SOFR,3.8,3.72,3.77,3.84,3.92,1045,,,,,,,,,,,
12/13/2022,SOFR,3.8,3.72,3.77,3.83,3.92,1051,,,,,,,,,,,
12/12/2022,SOFR,3.8,3.72,3.77,3.83,3.91,1042,,,,,,,,,,,
12/09/2022,SOFR,3.8,3.71,3.77,3.83,3.91,1058,,,,,,,,,,,
12/08/2022,SOFR,3.8,3.72,3.77,3.81,3.91,1087,,,,,,,,,,,
12/07/2022,SOFR,3.8,3.72,3.76,3.81,3.91,1088,,,,,,,,,,,
12/06/2022,SOFR,3.8,3.72,3.78,3.84,3.93,1088,,,,,,,,,,,
12/05/2022,SOFR,3.81,3.72,3.79,3.85,3.94,1096,,,,,,,,,,,
12/02/2022,SOFR,3.81,3.72,3.8,3.86,3.94,1132,,,,,,,,,,,
12/01/2022,SOFR,3.82,3.73,3.8,3.86,3.92,1174,,,,,,,,,,,
11/30/2022,SOFR,3.82,3.71,3.8,3.87,3.94,1113,,,,,,,,,,,
11/29/2022,SOFR,3.81,3.72,3.78,3.85,3.95,1026,,,,,,,,,,,
11/28/2022,SOFR,3.8,3.71,3.77,3.84,3.9,1058,,,,,,,,,,,
11/25/2022,SOFR,3.8,3.71,3.77,3.82,3.93,1003,,,,,,,,,,,
11/23/2022,SOFR,3.79,3.7,3.76,3.81,3.95,984,,,,,,,,,,,
11/22/2022,SOFR,3.8,3.71,3.76,3.82,3.95,1038,,,,,,,,,,,
11/21/2022,SOFR,3.8,3.7,3.76,3.82,3.89,1015,,,,,,,,,,,
11/18/2022,SOFR,3.8,3.71,3.77,3.83,3.92,1037,,,,,,,,,,,
11/17/2022,SOFR,3.8,3.71,3.78,3.84,3.9,1075,,,,,,,,,,,
11/16/2022,SOFR,3.81,3.72,3.78,3.85,3.92,1096,,,,,,,,,,,
11/15/2022,SOFR,3.8,3.7,3.78,3.85,3.95,1149,,,,,,,,,,,
11/14/2022,SOFR,3.79,3.7,3.75,3.81,3.95,1041,,,,,,,,,,,
11/10/2022,SOFR,3.78,3.7,3.75,3.8,3.95,987,,,,,,,,,,,
11/09/2022,SOFR,3.78,3.7,3.75,3.8,3.95,969,,,,,,,,,,,
11/08/2022,SOFR,3.78,3.69,3.75,3.8,3.95,978,,,,,,,,,,,
11/07/2022,SOFR,3.78,3.7,3.75,3.81,3.95,981,,,,,,,,,,,
11/04/2022,SOFR,3.8,3.7,3.76,3.82,3.95,1014,,,,,,,,,,,
11/03/2022,SOFR,3.8,3.25,3.76,3.83,3.89,1074,,,,,,,,,,,
11/02/2022,SOFR,3.05,2.95,3.01,3.08,3.2,1021,,,,,,,,,,,
11/01/2022,SOFR,3.05,2.95,3.01,3.08,3.13,1079,,,,,,,,,,,
10/31/2022,SOFR,3.05,2.93,3.01,3.07,3.2,1075,,,,,,,,,,,
10/28/2022,SOFR,3.05,2.95,3,3.06,3.2,951,,,,,,,,,,,
10/27/2022,SOFR,3.04,2.94,3,3.06,3.2,973,,,,,,,,,,,
10/26/2022,SOFR,3.03,2.95,3,3.05,3.2,972,,,,,,,,,,,
10/25/2022,SOFR,3.02,2.93,3,3.05,3.2,961,,,,,,,,,,,
10/24/2022,SOFR,3.01,2.93,2.99,3.04,3.2,962,,,,,,,,,,,
10/21/2022,SOFR,3.02,2.93,2.99,3.04,3.2,955,,,,,,,,,,,
10/20/2022,SOFR,3.03,2.93,3,3.05,3.2,963,,,,,,,,,,,
10/19/2022,SOFR,3.04,2.94,3,3.05,3.2,919,,,,,,,,,,,
10/18/2022,SOFR,3.04,2.95,3,3.06,3.2,967,,,,,,,,,,,
10/17/2022,SOFR,3.05,2.95,3,3.06,3.2,979,,,,,,,,,,,
10/14/2022,SOFR,3.04,2.95,3,3.05,3.2,958,,,,,,,,,,,
10/13/2022,SOFR,3.04,2.95,3,3.06,3.2,1000,,,,,,,,,,,
10/12/2022,SOFR,3.04,2.95,3,3.06,3.2,972,,,,,,,,,,,
10/11/2022,SOFR,3.05,2.95,3,3.07,3.2,993,,,,,,,,,,,
10/07/2022,SOFR,3.05,2.95,3,3.06,3.2,968,,,,,,,,,,,
10/06/2022,SOFR,3.05,2.95,3,3.07,3.2,985,,,,,,,,,,,
10/05/2022,SOFR,3.04,2.95,3,3.06,3.2,992,,,,,,,,,,,
10/04/2022,SOFR,3.04,2.95,3,3.06,3.2,996,,,,,,,,,,,
10/03/2022,SOFR,3,2.93,2.97,3.05,3.2,1009,,,,,,,,,,,
09/30/2022,SOFR,2.98,2.88,2.95,3.03,3.2,956,,,,,,,,,,,
09/29/2022,SOFR,2.96,2.88,2.94,2.99,3.2,906,,,,,,,,,,,
09/28/2022,SOFR,2.98,2.88,2.95,3,3.2,911,,,,,,,,,,,
09/27/2022,SOFR,2.98,2.83,2.96,3,3.2,949,,,,,,,,,,,
09/26/2022,SOFR,2.99,2.8,2.96,3,3.2,976,,,,,,,,,,,
09/23/2022,SOFR,2.99,2.9,2.97,3.01,3.2,968,,,,,,,,,,,
09/22/2022,SOFR,2.99,2.26,2.97,3.01,3.13,1023,,,,,,,,,,,
09/21/2022,SOFR,2.25,2.12,2.23,2.27,2.45,951,,,,,,,,,,,
09/20/2022,SOFR,2.26,2.05,2.24,2.28,2.45,967,,,,,,,,,,,
09/19/2022,SOFR,2.27,2.15,2.25,2.3,2.45,948,,,,,,,,,,,
09/16/2022,SOFR,2.27,2.1,2.25,2.3,2.45,952,,,,,,,,,,,
09/15/2022,SOFR,2.28,2.18,2.26,2.3,2.45,981,,,,,,,,,,,
09/14/2022,SOFR,2.27,2.2,2.25,2.3,2.45,951,,,,,,,,,,,
09/13/2022,SOFR,2.28,2.18,2.26,2.3,2.45,957,,,,,,,,,,,
09/12/2022,SOFR,2.28,2.2,2.26,2.3,2.45,980,,,,,,,,,,,
09/09/2022,SOFR,2.28,2.2,2.26,2.3,2.45,958,,,,,,,,,,,
09/08/2022,SOFR,2.28,2.18,2.26,2.3,2.45,981,,,,,,,,,,,
09/07/2022,SOFR,2.28,2.19,2.26,2.3,2.45,958,,,,,,,,,,,
09/06/2022,SOFR,2.29,2.18,2.26,2.3,2.45,989,,,,,,,,,,,
09/02/2022,SOFR,2.29,2.19,2.26,2.31,2.45,965,,,,,,,,,,,
09/01/2022,SOFR,2.29,2.2,2.26,2.31,2.45,979,,,,,,,,,,,
08/31/2022,SOFR,2.29,2.15,2.26,2.31,2.45,1024,,,,,,,,,,,
08/30/2022,SOFR,2.29,2.2,2.26,2.3,2.45,948,,,,,,,,,,,
08/29/2022,SOFR,2.28,2.19,2.25,2.3,2.45,963,,,,,,,,,,,
08/26/2022,SOFR,2.28,2.2,2.25,2.3,2.45,953,,,,,,,,,,,
